sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
727	2016_46	YDy(LH)3	Other Families	Dy3+	Oblate	Kramers	10.5	9	3	Oxygen+Nitrogen	Freq-dependent X''	NA	21	1000	NA	NA	NA	NA	NA	NA	Pinched Hysteresis	4	10.1002/chem.201505211	Lucaccini, E., Briganti, M., Perfetti, M., Vendier, L., Costes, J.-P., Totti, F., Sessoli, R. & Sorace, L. 2016 Relaxation Dynamics and Magnetic Anisotropy in a Low-Symmetry DyIIIComplex. Chemistry - A European Journal 22, 5552–5562. (doi:10.1002/chem.201505211)	2016	B	Unassigned	C	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1433866
728	2016_47	[ZnNd(LH4)2](NO3)3·6H2O	TM near Ln	Nd3+	Oblate	Kramers	100	8	4	Oxygen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	Unassigned	C	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474018
729	2016_47	[ZnTb(LH4)2](NO3)3·6H2O	TM near Ln	Tb3+	Oblate	Non-Kramers	100	8	4	Oxygen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	Unassigned	E	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474019
730	2016_47	[ZnDy(LH4)2](NO3)3·6H2O	TM near Ln	Dy3+	Oblate	Kramers	100	8	4	Oxygen	T_B3 > 2K	20	20	1000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	Unassigned	C	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474020
731	2016_47	[ZnHo(LH4)2](NO3)3·6H2O	TM near Ln	Ho3+	Oblate	Non-Kramers	100	8	4	Oxygen	No Freq-dependent X''	NA	NA	NA	Argand	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	Unassigned	E	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474021
732	2016_47	[ZnEr(LH4)2](NO3)3·6H2O	TM near Ln	Er3+	Prolate	Kramers	100	8	4	Oxygen	No Freq-dependent X''	NA	NA	NA	Argand	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	C	Unassigned	D	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474022
733	2016_47	[ZnYb(LH4)2](NO3)3·6H2O	TM near Ln	Yb3+	Prolate	Kramers	100	8	4	Oxygen	Not Measured	NA	NA	NA	Argand	272.16	NA	NA	2.67e-10	NA	Pinched Hysteresis	4	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	C	II	D	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474023
734	2016_47	[ZnDy(LH4)2](NO3)3·6H2O	TM near Ln	Dy3+	Oblate	Kramers	1	8	4	Oxygen	Not Measured	NA	NA	NA	Argand	272.16	NA	NA	2.67e-10	NA	Pinched Hysteresis	10	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474024
735	2016_47	[ZnDy(LH4)2](NO3)3·6H2O	TM near Ln	Dy3+	Oblate	Kramers	5	8	4	Oxygen	Not Measured	NA	NA	NA	Argand	272.16	NA	NA	2.67e-10	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474025
736	2016_47	[ZnDy(LH4)2](NO3)3·6H2O	TM near Ln	Dy3+	Oblate	Kramers	25	8	4	Oxygen	T_B3 > 2K	20	NA	NA	Argand	272.16	NA	NA	2.67e-10	NA	Not Measured	NA	10.1002/chem.201601996	Amjad, A., Madalan, A. M., Andruh, M., Caneschi, A. & Sorace, L. 2016 Slow Relaxation of Magnetization in an Isostructural Series of Zinc-Lanthanide Complexes: An Integrated EPR and AC Susceptibility Study. Chemistry - A European Journal 22, 12849–12858. (doi:10.1002/chem.201601996)	2016	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1474026
737	2016_48	Na5[Dy(oda)3](H2O)6(BF4)2	Other Families	Dy3+	Oblate	Kramers	100	9	3	Oxygen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601741	Baldoví, J. J., Duan, Y., Morales, R., Gaita-Ariño, A., Ruiz, E. & Coronado, E. 2016 Rational Design of Lanthanoid Single-Ion Magnets: Predictive Power of the Theoretical Models. Chemistry - A European Journal 22, 13532–13539. (doi:10.1002/chem.201601741)	2016	B	Unassigned	C	Unassigned	NA
738	2016_48	Na5[Dy/Y(oda)3](H2O)6(BF4)2	Other Families	Dy3+	Oblate	Kramers	1	9	3	Oxygen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601741	Baldoví, J. J., Duan, Y., Morales, R., Gaita-Ariño, A., Ruiz, E. & Coronado, E. 2016 Rational Design of Lanthanoid Single-Ion Magnets: Predictive Power of the Theoretical Models. Chemistry - A European Journal 22, 13532–13539. (doi:10.1002/chem.201601741)	2016	B	Unassigned	C	Unassigned	NA
739	2016_48	Na5[Er(oda)3](H2O)6(BF4)2	Other Families	Er3+	Prolate	Kramers	100	9	3	Oxygen	Freq-dependent X''	NA	4.2	1000	X''(T)	45.6	NA	NA	3.18e-10	NA	Not Measured	NA	10.1002/chem.201601741	Baldoví, J. J., Duan, Y., Morales, R., Gaita-Ariño, A., Ruiz, E. & Coronado, E. 2016 Rational Design of Lanthanoid Single-Ion Magnets: Predictive Power of the Theoretical Models. Chemistry - A European Journal 22, 13532–13539. (doi:10.1002/chem.201601741)	2016	C	II	D	VI	NA
740	2016_48	Na5[Er/Y(oda)3](H2O)6(BF4)2	Other Families	Er3+	Prolate	Kramers	5	9	3	Oxygen	Freq-dependent X''	NA	3.8	1000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601741	Baldoví, J. J., Duan, Y., Morales, R., Gaita-Ariño, A., Ruiz, E. & Coronado, E. 2016 Rational Design of Lanthanoid Single-Ion Magnets: Predictive Power of the Theoretical Models. Chemistry - A European Journal 22, 13532–13539. (doi:10.1002/chem.201601741)	2016	C	Unassigned	D	Unassigned	NA
741	2016_49	[YbL3]·CH3OH	Other Families	Yb3+	Prolate	Kramers	100	9	3	Nitrogen	No Freq-dependent X''	NA	3.5	1000	X''(T)	11.7	NA	NA	4.6e-6	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	VI	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469027
742	2016_49	[ErL3]·CH3OH	Other Families	Er3+	Prolate	Kramers	100	9	3	Nitrogen	No Freq-dependent X''	NA	NA	NA	X''(T)	16	NA	NA	5.3e-8	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	VI	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469029
743	2016_49	[DyL3]·CH3OH	Other Families	Dy3+	Oblate	Kramers	100	9	3	Nitrogen	No Freq-dependent X''	NA	2.2	1000	X''(T)	13.7	NA	NA	1.2e-7	NA	No Hysteresis	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	B	II	C	VI	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469031
744	2016_49	[GdL3]·CH3OH	Other Families	Gd3+	Isotropic	Kramers	100	9	3	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	A	Unassigned	A	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469037
745	2016_49	[YbL2(tmh)(CH3OH)]·nH2O·mCH3OH	Diketonate	Yb3+	Prolate	Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	4.5	1000	X''(T)	29.7	NA	NA	3.5e-7	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469026
746	2016_49	[ErL2(tmh)(CH3OH)]·nH2O·mCH3OH	Diketonate	Er3+	Prolate	Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	4	1000	X''(T)	30.4	NA	NA	7.8e-8	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469025
747	2016_49	[DyL2(tmh)(CH3OH)]·nH2O·mCH3OH	Diketonate	Dy3+	Oblate	Kramers	100	9	4	Oxygen+Nitrogen	Freq-dependent X''	NA	13	1000	X''(T)	95.7	NA	NA	3.4e-7	NA	No Hysteresis	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469032
748	2016_49	[GdL2(tmh)(CH3OH)]·nH2O·mCH3OH	Diketonate	Gd3+	Isotropic	Kramers	100	9	4	Oxygen+Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	A	Unassigned	A	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469035
749	2016_49	[YbL2(tta)(CH3OH)]·CH3OH	Diketonate	Yb3+	Prolate	Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	4.5	1000	X''(T)	30.3	NA	NA	2e-7	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469030
750	2016_49	[ErL2(tta)(CH3OH)]·CH3OH	Diketonate	Er3+	Prolate	Kramers	100	9	5	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	X''(T)	25.8	NA	NA	3.5e-8	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	C	II	D	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469028
751	2016_49	[DyL2(tta)(CH3OH)]·CH3OH	Diketonate	Dy3+	Oblate	Kramers	100	9	6	Oxygen+Nitrogen	Freq-dependent X''	NA	8	1000	X''(T)	76	NA	NA	4.2e-8	NA	No Hysteresis	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469036
752	2016_49	[GdL2(tta)(CH3OH)]·CH3OH	Diketonate	Gd3+	Isotropic	Kramers	100	9	7	Oxygen+Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/chem.201601457	Jiménez, J.-R., Díaz-Ortega, I. F., Ruiz, E., Aravena, D., Pope, S. J. A., Colacio, E. & Herrera, J. M. 2016 Lanthanide Tetrazolate Complexes Combining Single-Molecule Magnet and Luminescence Properties: The Effect of the Replacement of Tetrazolate N3by β-Diketonate Ligands on the Anisotropy Energy Barrier. Chemistry - A European Journal 22, 14548–14559. (doi:10.1002/chem.201601457)	2016	A	Unassigned	A	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1469033
753	2016_50	LMC-Dy	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	3	Oxygen+Nitrogen	Freq-dependent X''	NA	20	1200	Argand	216	NA	NA	4.7e-9	NA	Pinched Hysteresis	1.8	10.1002/chem.201603439	Selvanathan, P. et al. 2016 Highly Axial Magnetic Anisotropy in a N3O5Dysprosium(III) Coordination Environment Generated by a Merocyanine Ligand. Chemistry - A European Journal 22, 15222–15226. (doi:10.1002/chem.201603439)	2016	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1494559
754	2016_50	LMC-Yb	Mixed Ligands	Yb3+	Prolate	Kramers	100	8	3	Oxygen+Nitrogen	Not Measured	NA	NA	NA	Argand	6.8	NA	NA	1.3e-5	NA	Not Measured	NA	10.1002/chem.201603439	Selvanathan, P. et al. 2016 Highly Axial Magnetic Anisotropy in a N3O5Dysprosium(III) Coordination Environment Generated by a Merocyanine Ligand. Chemistry - A European Journal 22, 15222–15226. (doi:10.1002/chem.201603439)	2016	C	II	D	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1494560
755	2016_50	LMC-Dy	Mixed Ligands	Dy3+	Oblate	Kramers	3	8	3	Oxygen+Nitrogen	T_B3 > 2K	20	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	1.8	10.1002/chem.201603439	Selvanathan, P. et al. 2016 Highly Axial Magnetic Anisotropy in a N3O5Dysprosium(III) Coordination Environment Generated by a Merocyanine Ligand. Chemistry - A European Journal 22, 15222–15226. (doi:10.1002/chem.201603439)	2016	B	Unassigned	B	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1494559
756	2016_51	[Dy(BIPMTMS)(BIPMTMSH)]	Other Families	Dy3+	Oblate	Kramers	100	6	2	Others	T_B3 > 2K	14	NA	NA	Argand	NA	NA	255	NA	3.55e-12	Pinched Hysteresis	1.8	10.1039/c5sc03111g	Gregson, M. et al. 2016 A monometallic lanthanide bis(methanediide) single molecule magnet with a large energy barrier and complex spin relaxation behaviour. Chemical Science 7, 155–165. (doi:10.1039/c5sc03111g)	2016	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc03111g
757	2016_51	[Dy(BIPMTMS)2][K(18C6)(THF)2]	Other Families	Dy3+	Oblate	Kramers	100	6	2	Others	T_B3 > 2K	38	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	16	10.1039/c5sc03111g	Gregson, M. et al. 2016 A monometallic lanthanide bis(methanediide) single molecule magnet with a large energy barrier and complex spin relaxation behaviour. Chemical Science 7, 155–165. (doi:10.1039/c5sc03111g)	2016	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc03111g
758	2016_51	[Dy(BIPMTMS)2][K(18C6)(THF)2]	Other Families	Dy3+	Oblate	Kramers	9.09090909090909	6	2	Others	T_B3 > 2K	39	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	17	10.1039/c5sc03111g	Gregson, M. et al. 2016 A monometallic lanthanide bis(methanediide) single molecule magnet with a large energy barrier and complex spin relaxation behaviour. Chemical Science 7, 155–165. (doi:10.1039/c5sc03111g)	2016	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc03111g
759	2016_51	[Dy(BIPMTMS)2][K(18C6)(THF)2]	Other Families	Dy3+	Oblate	Kramers	3	6	2	Others	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	1.8	10.1039/c5sc03111g	Gregson, M. et al. 2016 A monometallic lanthanide bis(methanediide) single molecule magnet with a large energy barrier and complex spin relaxation behaviour. Chemical Science 7, 155–165. (doi:10.1039/c5sc03111g)	2016	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc03111g
760	2016_52	([Zn2(L1)2DyCl3]·2H2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	3	Others	T_B3 > 2K	29	NA	NA	X''(T)	430	NA	NA	7.4e-11	NA	Pinched Hysteresis	10	10.1039/c5sc02986d	Sun, W.-B., Yan, P.-F., Jiang, S.-D., Wang, B.-W., Zhang, Y.-Q., Li, H.-F., Chen, P., Wang, Z.-M. & Gao, S. 2016 High symmetry or low symmetry, that is the question – high performance Dy(iii) single-ion magnets by electrostatic potential design. Chemical Science 7, 684–691. (doi:10.1039/c5sc02986d)	2016	B	II	C	IV	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc02986d
761	2016_52	([Zn2(L1)2DyCl3]·2H2O	Mixed Ligands	Dy3+	Oblate	Kramers	4.76190476190476	9	3	Others	T_B3 > 2K	29	NA	NA	X''(T)	434	NA	NA	7e-11	NA	Full Hysteresis	4	10.1039/c5sc02986d	Sun, W.-B., Yan, P.-F., Jiang, S.-D., Wang, B.-W., Zhang, Y.-Q., Li, H.-F., Chen, P., Wang, Z.-M. & Gao, S. 2016 High symmetry or low symmetry, that is the question – high performance Dy(iii) single-ion magnets by electrostatic potential design. Chemical Science 7, 684–691. (doi:10.1039/c5sc02986d)	2016	B	II	C	IV	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc02986d
762	2016_52	[Zn2(L1)2Dy(MeOH)Br3]·3H2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	3	Oxygen	T_B3 > 2K	26	NA	NA	X''(T)	233	NA	NA	2.5e-8	NA	Pinched Hysteresis	6	10.1039/c5sc02986d	Sun, W.-B., Yan, P.-F., Jiang, S.-D., Wang, B.-W., Zhang, Y.-Q., Li, H.-F., Chen, P., Wang, Z.-M. & Gao, S. 2016 High symmetry or low symmetry, that is the question – high performance Dy(iii) single-ion magnets by electrostatic potential design. Chemical Science 7, 684–691. (doi:10.1039/c5sc02986d)	2016	B	II	C	III	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc02986d
763	2016_52	[Zn2(L1)2Dy(H2O)Br2][ZnBr4]0.5	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	3	Oxygen	T_B3 > 2K	23	NA	NA	X''(T)	121	NA	NA	8.5e-7	NA	Pinched Hysteresis	4	10.1039/c5sc02986d	Sun, W.-B., Yan, P.-F., Jiang, S.-D., Wang, B.-W., Zhang, Y.-Q., Li, H.-F., Chen, P., Wang, Z.-M. & Gao, S. 2016 High symmetry or low symmetry, that is the question – high performance Dy(iii) single-ion magnets by electrostatic potential design. Chemical Science 7, 684–691. (doi:10.1039/c5sc02986d)	2016	B	II	C	III	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc02986d
764	2016_52	([Zn2(L2)2DyCl3]·2H2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	3	Others	T_B3 > 2K	30	NA	NA	X''(T)	398	NA	NA	3.5e-10	NA	Pinched Hysteresis	8	10.1039/c5sc02986d	Sun, W.-B., Yan, P.-F., Jiang, S.-D., Wang, B.-W., Zhang, Y.-Q., Li, H.-F., Chen, P., Wang, Z.-M. & Gao, S. 2016 High symmetry or low symmetry, that is the question – high performance Dy(iii) single-ion magnets by electrostatic potential design. Chemical Science 7, 684–691. (doi:10.1039/c5sc02986d)	2016	B	II	C	IV	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc02986d
765	2016_53	Dy[N(SiMe3)2]3ClLi(THF)3	Mixed Ligands	Dy3+	Oblate	Kramers	100	4	4	Others	Freq-dependent X''	NA	2.2	600	Argand	17	NA	NA	1.46e-7	NA	Not Measured	NA	10.1021/acs.inorgchem.5b02792	Zhang, P., Jung, J., Zhang, L., Tang, J. & Le Guennic, B. 2016 Elucidating the Magnetic Anisotropy and Relaxation Dynamics of Low-Coordinate Lanthanide Compounds. Inorganic Chemistry 55, 1905–1911. (doi:10.1021/acs.inorgchem.5b02792)	2016	C	II	D	IV	http://www.crystallography.net/cod/result/?doi=10.1021/acs.inorgchem.5b02792
766	2016_53	Er[N(SiMe3)2]3ClLi(THF)3	Mixed Ligands	Er3+	Prolate	Kramers	100	4	4	Others	T_B3 > 2K	8	NA	NA	Argand	63.36	NA	NA	8.88e-8	NA	Pinched Hysteresis	1.9	10.1021/acs.inorgchem.5b02792	Zhang, P., Jung, J., Zhang, L., Tang, J. & Le Guennic, B. 2016 Elucidating the Magnetic Anisotropy and Relaxation Dynamics of Low-Coordinate Lanthanide Compounds. Inorganic Chemistry 55, 1905–1911. (doi:10.1021/acs.inorgchem.5b02792)	2016	C	II	D	IV	http://www.crystallography.net/cod/result/?doi=10.1021/acs.inorgchem.5b02792
767	2016_54	[DyLz2(o-vanilin)2]·Br·solvent	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	T_B3 > 2K	26	NA	NA	Argand	221	NA	NA	NA	NA	Pinched Hysteresis	6	10.1039/c5sc04510j	Wu, J., Jung, J., Zhang, P., Zhang, H., Tang, J. & Le Guennic, B. 2016 Cis–trans isomerism modulates the magnetic relaxation of dysprosium single-molecule magnets. Chemical Science 7, 3632–3639. (doi:10.1039/c5sc04510j)	2016	B	Unassigned	B	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc04510j
768	2016_54	[DyLz2(o-vanilin)2]·NO3·solvent	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	T_B3 > 2K	40	NA	NA	Argand	615	NA	NA	NA	NA	Pinched Hysteresis	7	10.1039/c5sc04510j	Wu, J., Jung, J., Zhang, P., Zhang, H., Tang, J. & Le Guennic, B. 2016 Cis–trans isomerism modulates the magnetic relaxation of dysprosium single-molecule magnets. Chemical Science 7, 3632–3639. (doi:10.1039/c5sc04510j)	2016	B	Unassigned	B	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c5sc04510j
